0.027,0.039,0.105,0.106,0.010,0.053,0.074,0.090,0.150,0.222,1.000,0.322,0.017,0.136,0.043,0.043,0.136,0.198,0.121,0.034,0.021,0.021,0.021,0.021,0.030,0.023,0.222,0.322,0.039,0.027,0.043,0.105,0.134,0.078,0.049,0.110,0.087,0.227,0.034,0.322,0.011,0.049,0.039,0.008,0.027,0.027,0.198,0.008,0.191,0.020,0.023,0.100,0.017,0.029,0.043,0.039,0.136,0.016,0.007,0.018
0.013,0.059,0.160,0.069,0.043,0.094,0.063,0.183,0.074,0.120,0.322,1.000,0.103,0.164,0.039,0.039,0.164,0.019,0.195,0.048,0.033,0.033,0.033,0.033,0.062,0.083,0.120,1.000,0.059,0.013,0.039,0.160,0.197,0.056,0.050,0.188,0.071,0.225,0.042,1.000,0.031,0.066,0.059,0.008,0.013,0.013,0.019,0.008,0.040,0.073,0.083,0.102,0.041,0.046,0.039,0.059,0.164,0.025,0.071,0.124
0.046,0.086,0.056,0.052,0.048,0.101,0.020,0.096,0.044,0.047,0.017,0.103,1.000,0.063,0.067,0.067,0.063,0.073,0.061,0.046,0.058,0.058,0.058,0.058,0.037,0.128,0.047,0.103,0.086,0.046,0.067,0.056,0.093,0.031,0.050,0.232,0.040,0.188,0.050,0.103,0.061,0.110,0.086,0.006,0.046,0.046,0.073,0.006,0.004,0.072,0.128,0.017,0.050,0.108,0.067,0.086,0.063,0.026,0.039,0.078
0.055,0.161,0.125,0.073,0.076,0.180,0.067,0.345,0.155,0.162,0.136,0.164,0.063,1.000,0.098,0.098,1.000,0.057,0.165,0.081,0.064,0.064,0.064,0.064,0.112,0.076,0.162,0.164,0.161,0.055,0.098,0.125,0.146,0.064,0.157,0.069,0.150,0.128,0.101,0.164,0.065,0.076,0.161,0.334,0.055,0.055,0.057,0.334,0.011,0.175,0.076,0.151,0.071,0.122,0.098,0.161,1.000,0.061,0.090,0.240
0.028,0.046,0.033,0.098,0.141,0.088,0.042,0.082,0.082,0.102,0.043,0.039,0.067,0.098,1.000,1.000,0.098,0.176,0.118,0.018,0.032,0.032,0.032,0.032,0.103,0.025,0.102,0.039,0.046,0.028,1.000,0.033,0.094,0.024,0.036,0.013,0.079,0.036,0.046,0.039,0.035,0.014,0.046,0.049,0.028,0.028,0.176,0.049,0.030,0.059,0.025,0.127,0.045,0.103,1.000,0.046,0.098,0.037,0.115,0.158
0.028,0.046,0.033,0.098,0.141,0.088,0.042,0.082,0.082,0.102,0.043,0.039,0.067,0.098,1.000,1.000,0.098,0.176,0.118,0.018,0.032,0.032,0.032,0.032,0.103,0.025,0.102,0.039,0.046,0.028,1.000,0.033,0.094,0.024,0.036,0.013,0.079,0.036,0.046,0.039,0.035,0.014,0.046,0.049,0.028,0.028,0.176,0.049,0.030,0.059,0.025,0.127,0.045,0.103,1.000,0.046,0.098,0.037,0.115,0.158
0.055,0.161,0.125,0.073,0.076,0.180,0.067,0.345,0.155,0.162,0.136,0.164,0.063,1.000,0.098,0.098,1.000,0.057,0.165,0.081,0.064,0.064,0.064,0.064,0.112,0.076,0.162,0.164,0.161,0.055,0.098,0.125,0.146,0.064,0.157,0.069,0.150,0.128,0.101,0.164,0.065,0.076,0.161,0.334,0.055,0.055,0.057,0.334,0.011,0.175,0.076,0.151,0.071,0.122,0.098,0.161,1.000,0.061,0.090,0.240
0.037,0.107,0.100,0.114,0.026,0.071,0.041,0.077,0.107,0.235,0.198,0.019,0.073,0.057,0.176,0.176,0.057,1.000,0.093,0.029,0.065,0.065,0.065,0.065,0.026,0.065,0.235,0.019,0.107,0.037,0.176,0.100,0.088,0.018,0.068,0.038,0.107,0.046,0.044,0.019,0.064,0.042,0.107,0.078,0.037,0.037,1.000,0.078,0.121,0.017,0.065,0.047,0.110,0.131,0.176,0.107,0.057,0.025,0.030,0.205
0.057,0.052,0.050,0.088,0.066,0.148,0.076,0.170,0.082,0.161,0.121,0.195,0.061,0.165,0.118,0.118,0.165,0.093,1.000,0.083,0.070,0.070,0.070,0.070,0.088,0.044,0.161,0.195,0.052,0.057,0.118,0.050,0.178,0.034,0.123,0.075,0.067,0.044,0.080,0.195,0.057,0.040,0.052,0.110,0.057,0.057,0.093,0.110,0.034,0.076,0.044,0.154,0.056,0.098,0.118,0.052,0.165,0.074,0.053,0.167
0.066,0.069,0.263,0.025,0.037,0.133,0.115,0.167,0.063,0.137,0.034,0.048,0.046,0.081,0.018,0.018,0.081,0.029,0.083,1.000,0.120,0.120,0.120,0.120,0.092,0.117,0.137,0.048,0.069,0.066,0.018,0.263,0.039,0.171,0.116,0.158,0.061,0.178,0.049,0.048,0.027,0.073,0.069,0.122,0.066,0.066,0.029,0.122,0.005,0.048,0.117,0.080,0.023,0.162,0.018,0.069,0.081,0.099,0.050,0.239
